Date,Open ,High,Low,Close,Close - Open,High - Open,Low - Open,High - Low
30-Jul-24,3.3,135.65,-37.45,21.2,17.9,132.35,-40.75,173.1
31-Jul-24,29.4,127.3,-0.8,93.85,64.45,97.9,-30.2,128.1
01-Aug-24,79.8,127.15,5.25,59.75,-20.05,47.35,-74.55,121.9
02-Aug-24,-221.9,-159,-324.05,-293.2,-71.3,62.9,-102.15,165.05
05-Aug-24,-414.85,-367.65,-824,-662.1,-247.25,47.2,-409.15,456.35
06-Aug-24,134.25,327,-95.2,-63.05,-197.3,192.75,-229.45,422.2
07-Aug-24,296.85,345.15,192.35,304.95,8.1,48.3,-104.5,152.8
08-Aug-24,-48.95,43,-217.8,-180.5,-131.55,91.95,-168.85,260.8
09-Aug-24,269.85,302.75,194.2,250.5,-19.35,32.9,-75.65,108.55
12-Aug-24,-47.45,105.3,-155.4,-20.5,26.95,152.75,-107.95,260.7
13-Aug-24,-4.65,12.95,-230.5,-208,-203.35,17.6,-225.85,243.45
14-Aug-24,45.4,57.5,-39.3,4.75,-40.65,12.1,-84.7,96.8
16-Aug-24,191.1,420.15,60.75,397.4,206.3,229.05,-130.35,359.4
19-Aug-24,95.2,97.65,-18.2,31.5,-63.7,2.45,-113.4,115.85
20-Aug-24,76.25,161.65,34.55,126.2,49.95,85.4,-41.7,127.1
21-Aug-24,-18.3,89.1,-44.35,71.35,89.65,107.4,-26.05,133.45
22-Aug-24,93.2,97.15,14.25,41.3,-51.9,3.95,-78.95,82.9
23-Aug-24,33.9,46.9,-39.85,11.65,-22.25,13,-73.75,86.75
26-Aug-24,82.95,220.65,51.55,187.45,104.5,137.7,-31.4,169.1
27-Aug-24,14.2,62.5,-36.95,7.15,-7.05,48.3,-51.15,99.45
28-Aug-24,13.05,111.85,-53.1,34.6,21.55,98.8,-66.15,164.95
29-Aug-24,-17.05,140.55,-53.85,99.6,116.65,157.6,-36.8,194.4
30-Aug-24,97.75,116.4,47.45,83.95,-13.8,18.65,-50.3,68.95
02-Sep-24,97.7,97.75,-0.4,42.8,-54.9,0.05,-98.1,98.15
03-Sep-24,34.7,43,-42.9,1.15,-33.55,8.3,-77.6,85.9
04-Sep-24,-189.9,-63.85,-196.05,-81.15,108.75,126.05,-6.15,132.2
05-Sep-24,51.8,76.75,-70.95,-53.6,-105.4,24.95,-122.75,147.7
06-Sep-24,-51.4,23.65,-343.8,-292.95,-241.55,75.05,-292.4,367.45
09-Sep-24,-28.75,105.35,-99,84.25,113,134.1,-70.25,204.35
10-Sep-24,63,194.1,-39.6,104.7,41.7,131.1,-102.6,233.7
11-Sep-24,-7.1,72.6,-155.95,-122.65,-115.55,79.7,-148.85,228.55
12-Sep-24,141.2,514.9,23,470.45,329.25,373.7,-118.2,491.9
13-Sep-24,41.55,41.6,-96.45,-32.4,-73.95,0.05,-138,138.05
16-Sep-24,50.15,89.2,-20.3,27.25,-22.9,39.05,-70.45,109.5
17-Sep-24,33.15,57.9,-31.5,34.8,1.65,24.75,-64.65,89.4
18-Sep-24,-16.15,63.65,-133,-41,-24.85,79.8,-116.85,196.65
19-Sep-24,109.5,234.4,-1.5,38.25,-71.25,124.9,-111,235.9
20-Sep-24,110.15,433.45,10.8,375.15,265,323.3,-99.35,422.65
23-Sep-24,81.6,165.05,56.4,148.1,66.5,83.45,-25.2,108.65
24-Sep-24,-17.6,72.5,-52.2,1.35,18.95,90.1,-34.6,124.7
25-Sep-24,-40.95,92.4,-69.05,63.75,104.7,133.35,-28.1,161.45
26-Sep-24,1.25,246.75,-5.75,211.9,210.65,245.5,-7,252.5
27-Sep-24,32.2,61.3,-64.65,-37.1,-69.3,29.1,-96.85,125.95
30-Sep-24,-117.65,-44.25,-384.85,-368.1,-250.45,73.4,-267.2,340.6
01-Oct-24,-22.4,96.75,-71.65,-13.95,8.45,119.15,-49.25,168.4
03-Oct-24,-344.05,-157.45,-566.6,-546.8,-202.75,186.6,-222.55,409.15
04-Oct-24,-68.2,234.95,-283.3,-235.5,-167.3,303.15,-215.1,518.25
07-Oct-24,69.5,128.4,-320.25,-218.85,-288.35,58.9,-389.75,448.65
08-Oct-24,36.45,248.25,-38.95,217.4,180.95,211.8,-75.4,287.2
09-Oct-24,52.65,220.9,-65.45,-31.2,-83.85,168.25,-118.1,286.35
10-Oct-24,85.1,152.1,-2.55,16.5,-68.6,67,-87.65,154.65
11-Oct-24,-13.15,30.2,-78.4,-34.2,-21.05,43.35,-65.25,108.6
14-Oct-24,59.2,195.5,53.25,163.7,104.5,136.3,-5.95,142.25
15-Oct-24,58.35,84.1,-119.8,-70.6,-128.95,25.75,-178.15,203.9
16-Oct-24,-48.8,36.05,-148.9,-86.05,-37.25,84.85,-100.1,184.95
17-Oct-24,56.1,58.2,-242.4,-221.45,-277.55,2.1,-298.5,300.6
18-Oct-24,-84.9,136.35,-182.2,104.2,189.1,221.25,-97.3,318.55
21-Oct-24,102.1,124.25,-174.45,-72.95,-175.05,22.15,-276.55,298.7
22-Oct-24,17.55,100.9,-335.3,-309,-326.55,83.35,-352.85,436.2
23-Oct-24,-93.95,132.15,-94,-36.6,57.35,226.1,-0.05,226.15
24-Oct-24,-22.8,45.15,-94.3,-36.1,-13.3,67.95,-71.5,139.45
25-Oct-24,18.65,40.85,-325.5,-218.6,-237.25,22.2,-344.15,366.35
28-Oct-24,70.3,311.8,-45.9,158.35,88.05,241.5,-116.2,357.7
29-Oct-24,-10.3,145.35,-198.3,127.7,138,155.65,-188,343.65
30-Oct-24,-95.4,31.35,-159.55,-126,-30.6,126.75,-64.15,190.9
31-Oct-24,9,31.6,-168.25,-135.5,-144.5,22.6,-177.25,199.85
01-Nov-24,97.4,162.9,74.85,99,1.6,65.5,-22.55,88.05
04-Nov-24,11.4,12.4,-488.2,-309,-320.4,1,-499.6,500.6
05-Nov-24,-78.85,233.7,-152.6,217.95,296.8,312.55,-73.75,386.3
06-Nov-24,95.45,324.3,-9.25,270.75,175.3,228.85,-104.7,333.55
07-Nov-24,5.55,19.3,-305,-284.7,-290.25,13.75,-310.55,324.3
08-Nov-24,8.35,76.8,-132.7,-51.15,-59.5,68.45,-141.05,209.5
11-Nov-24,-60.95,188.6,-143.6,-6.9,54.05,249.55,-82.65,332.2
12-Nov-24,84.5,100.7,-302.15,-257.85,-342.35,16.2,-386.65,402.85
13-Nov-24,-61,-9.85,-373.85,-324.4,-263.4,51.15,-312.85,364
14-Nov-24,-16.9,116.85,-74.9,-26.35,-9.45,133.75,-58,191.75
18-Nov-24,72.6,74.1,-182.3,-78.9,-151.5,1.5,-254.9,256.4
19-Nov-24,75.75,326.85,11,64.7,-11.05,251.1,-64.75,315.85
21-Nov-24,-30.05,-11.2,-255.35,-168.6,-138.55,18.85,-225.3,244.15
22-Nov-24,61.9,606.2,9.1,557.35,495.45,544.3,-52.8,597.1
25-Nov-24,346.3,444.3,228.2,314.65,-31.65,98,-118.1,216.1
26-Nov-24,121.4,121.4,-96.5,-27.4,-148.8,0,-217.9,217.9
27-Nov-24,10.3,160.05,-48.85,80.4,70.1,149.75,-59.15,208.9
28-Nov-24,-0.75,70.85,-401.55,-360.75,-360,71.6,-400.8,472.4
29-Nov-24,13,274.3,13,216.95,203.95,261.3,0,261.3
02-Dec-24,9.75,170.6,-122.45,144.95,135.2,160.85,-132.2,293.05
03-Dec-24,91.45,205.3,3.95,181.1,89.65,113.85,-87.5,201.35
04-Dec-24,31.6,116.05,-90.85,10.3,-21.3,84.45,-122.45,206.9
05-Dec-24,71.7,390.3,-171.9,240.95,169.25,318.6,-243.6,562.2
06-Dec-24,21.05,42.65,-87.9,-30.6,-51.65,21.6,-108.95,130.55
09-Dec-24,-43.9,27.2,-97.75,-58.8,-14.9,71.1,-53.85,124.95
10-Dec-24,33.65,58.8,-108.35,-8.95,-42.6,25.15,-142,167.15
11-Dec-24,10.45,81.7,-26.2,31.75,21.3,71.25,-36.65,107.9
12-Dec-24,-37.35,33.45,-113.85,-93.1,-55.75,70.8,-76.5,147.3
13-Dec-24,-50.35,243.6,-367.9,219.6,269.95,293.95,-317.55,611.5
16-Dec-24,-14.9,12.95,-166.55,-100.05,-85.15,27.85,-151.65,179.5
17-Dec-24,-83.45,-44.15,-364.8,-332.25,-248.8,39.3,-281.35,320.65
18-Dec-24,-38.05,58.45,-186.15,-137.15,-99.1,96.5,-148.1,244.6
19-Dec-24,-321.7,-193.95,-328.55,-247.15,74.55,127.75,-6.85,134.6
20-Dec-24,9,114.1,-414.35,-364.2,-373.2,105.1,-423.35,528.45
