Date,Scrip,Name Moving Averages,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action
13-10-2023,TATAMOTORS,Simple Moving Average (20),667.22,1 Min,Sell,665.2,5 Min,Buy,650.17,15 Min,Buy,650.17,30 Min,Buy,641.57,1 Hour,Buy,634.92,2 Hour,Buy,628.08,4 Hour,Buy,627.52,1 Day,Buy,609.4,1 Week,Buy,486.76,1 Month,Buy
13-10-2023,TATAMOTORS,Exponential Moving Average (30),667,1 Min,Sell,660.69,5 Min,Buy,649.99,15 Min,Buy,649.99,30 Min,Buy,639.36,1 Hour,Buy,634.66,2 Hour,Buy,629.51,4 Hour,Buy,625.28,1 Day,Buy,574.1,1 Week,Buy,460.19,1 Month,Buy
13-10-2023,TATAMOTORS,Simple Moving Average (30),666.98,1 Min,Sell,661.46,5 Min,Buy,645.97,15 Min,Buy,645.97,30 Min,Buy,636.86,1 Hour,Buy,629.63,2 Hour,Buy,625.46,4 Hour,Buy,623.89,1 Day,Buy,564.17,1 Week,Buy,456.82,1 Month,Buy
13-10-2023,TATAMOTORS,Exponential Moving Average (50),666.41,1 Min,Buy,655.66,5 Min,Buy,645.17,15 Min,Buy,645.17,30 Min,Buy,634.24,1 Hour,Buy,630.5,2 Hour,Buy,626.26,4 Hour,Buy,618.49,1 Day,Buy,536.34,1 Week,Buy,408.16,1 Month,Buy
13-10-2023,TATAMOTORS,Simple Moving Average (50),666.65,1 Min,Sell,652.07,5 Min,Buy,642.64,15 Min,Buy,642.64,30 Min,Buy,629.92,1 Hour,Buy,626.01,2 Hour,Buy,626.86,4 Hour,Buy,619.68,1 Day,Buy,507.03,1 Week,Buy,341.22,1 Month,Buy
13-10-2023,TATAMOTORS,Exponential Moving Average (100),663.76,1 Min,Buy,648.71,5 Min,Buy,638.58,15 Min,Buy,638.58,30 Min,Buy,629.19,1 Hour,Buy,626.15,2 Hour,Buy,618.38,4 Hour,Buy,592.64,1 Day,Buy,475.06,1 Week,Buy,355.68,1 Month,Buy
13-10-2023,TATAMOTORS,Simple Moving Average (100),665.07,1 Min,Buy,644.77,5 Min,Buy,637.28,15 Min,Buy,637.28,30 Min,Buy,625.13,1 Hour,Buy,626.88,2 Hour,Buy,619.79,4 Hour,Buy,601.93,1 Day,Buy,477.51,1 Week,Buy,345.8,1 Month,Buy
13-10-2023,TATAMOTORS,Exponential Moving Average (200),657.87,1 Min,Buy,642.31,5 Min,Buy,632.46,15 Min,Buy,632.46,30 Min,Buy,625.25,1 Hour,Buy,618.16,2 Hour,Buy,592.33,4 Hour,Buy,546.87,1 Day,Buy,406.38,1 Week,Buy,275.22,1 Month,Buy
13-10-2023,TATAMOTORS,Simple Moving Average (200),655.58,1 Min,Buy,640.53,5 Min,Buy,627.68,15 Min,Buy,627.68,30 Min,Buy,624.74,1 Hour,Buy,619.79,2 Hour,Buy,601.87,4 Hour,Buy,520.99,1 Day,Buy,348.88,1 Week,Buy,290.47,1 Month,Buy
13-10-2023,TATAMOTORS,"Ichimoku Base Line (9, 26, 52, 26)",666.85,1 Min,Neutral,659.8,5 Min,Neutral,651,15 Min,Neutral,651,30 Min,Neutral,647.08,1 Hour,Neutral,641.35,2 Hour,Neutral,638.65,4 Hour,Neutral,637.3,1 Day,Neutral,567.4,1 Week,Neutral,478.15,1 Month,Neutral
13-10-2023,TATAMOTORS,Volume Weighted Moving Average (20),667.3,1 Min,Sell,665.48,5 Min,Buy,659.6,15 Min,Buy,659.6,30 Min,Buy,653.4,1 Hour,Buy,645.23,2 Hour,Buy,635.66,4 Hour,Buy,633.12,1 Day,Buy,608.67,1 Week,Buy,472,1 Month,Buy
13-10-2023,TATAMOTORS,Hull Moving Average (9),667.19,1 Min,Sell,667.39,5 Min,Sell,668.46,15 Min,Sell,668.46,30 Min,Sell,670.01,1 Hour,Sell,663.02,2 Hour,Buy,653.09,4 Hour,Buy,648.21,1 Day,Buy,640.41,1 Week,Buy,675.88,1 Month,Sell
13-10-2023,HCLTECH,Exponential Moving Average (10),1246.71,1 Min,Buy,1255.22,5 Min,Buy,1252.39,15 Min,Buy,1252.39,30 Min,Buy,1247.53,1 Hour,Buy,1247.53,2 Hour,Buy,1245.21,4 Hour,Buy,1246.71,1 Day,Buy,1226.24,1 Week,Buy,1157.87,1 Month,Buy
13-10-2023,HCLTECH,Simple Moving Average (10),1242.28,1 Min,Buy,1254.9,5 Min,Buy,1251.71,15 Min,Buy,1251.71,30 Min,Buy,1242.33,1 Hour,Buy,1242.33,2 Hour,Buy,1247.82,4 Hour,Buy,1242.28,1 Day,Buy,1225.37,1 Week,Buy,1146.18,1 Month,Buy
13-10-2023,HCLTECH,Exponential Moving Average (20),1246.32,1 Min,Buy,1253.6,5 Min,Buy,1249.47,15 Min,Buy,1249.47,30 Min,Buy,1246.36,1 Hour,Buy,1246.36,2 Hour,Buy,1247.21,4 Hour,Buy,1246.32,1 Day,Buy,1192.04,1 Week,Buy,1107.38,1 Month,Buy
13-10-2023,HCLTECH,Simple Moving Average (20),1259.45,1 Min,Sell,1253.35,5 Min,Buy,1249.35,15 Min,Buy,1249.35,30 Min,Buy,1245.11,1 Hour,Buy,1245.11,2 Hour,Buy,1243.25,4 Hour,Buy,1259.45,1 Day,Sell,1183.68,1 Week,Buy,1086.99,1 Month,Buy
13-10-2023,HCLTECH,Exponential Moving Average (30),1239.3,1 Min,Buy,1252.38,5 Min,Buy,1247.64,15 Min,Buy,1247.64,30 Min,Buy,1246.64,1 Hour,Buy,1246.64,2 Hour,Buy,1248.32,4 Hour,Buy,1239.3,1 Day,Buy,1167.94,1 Week,Buy,1057.62,1 Month,Buy
13-10-2023,HCLTECH,Simple Moving Average (30),1253.54,1 Min,Buy,1251.58,5 Min,Buy,1245.91,15 Min,Buy,1245.91,30 Min,Buy,1249.36,1 Hour,Buy,1249.36,2 Hour,Buy,1249.62,4 Hour,Buy,1253.54,1 Day,Buy,1149.1,1 Week,Buy,1099.44,1 Month,Buy
13-10-2023,HCLTECH,Exponential Moving Average (50),1221.69,1 Min,Buy,1250.33,5 Min,Buy,1246.71,15 Min,Buy,1246.71,30 Min,Buy,1247.5,1 Hour,Buy,1247.5,2 Hour,Buy,1243.85,4 Hour,Buy,1221.69,1 Day,Buy,1136.95,1 Week,Buy,958,1 Month,Buy
13-10-2023,HCLTECH,Simple Moving Average (50),1215.77,1 Min,Buy,1249.98,5 Min,Buy,1240.73,15 Min,Buy,1240.73,30 Min,Buy,1247.29,1 Hour,Buy,1247.29,2 Hour,Buy,1262.38,4 Hour,Sell,1215.77,1 Day,Buy,1124.94,1 Week,Buy,939.52,1 Month,Buy
13-10-2023,HCLTECH,Exponential Moving Average (100),1186.8,1 Min,Buy,1247.32,5 Min,Buy,1247.47,15 Min,Buy,1247.47,30 Min,Buy,1249.37,1 Hour,Buy,1249.37,2 Hour,Buy,1222,4 Hour,Buy,1186.8,1 Day,Buy,1083.67,1 Week,Buy,765.21,1 Month,Buy
13-10-2023,HCLTECH,Simple Moving Average (100),1178.73,1 Min,Buy,1243.1,5 Min,Buy,1250.62,15 Min,Buy,1250.62,30 Min,Buy,1248.93,1 Hour,Buy,1248.93,2 Hour,Buy,1215.96,4 Hour,Buy,1178.73,1 Day,Buy,1096.89,1 Week,Buy,698.82,1 Month,Buy
13-10-2023,HCLTECH,Exponential Moving Average (200),1145.72,1 Min,Buy,1246.99,5 Min,Buy,1248.94,15 Min,Buy,1248.94,30 Min,Buy,1241.71,1 Hour,Buy,1241.71,2 Hour,Buy,1186.87,4 Hour,Buy,1145.72,1 Day,Buy,969.12,1 Week,Buy,524.2,1 Month,Buy
13-10-2023,HCLTECH,Simple Moving Average (200),1132.94,1 Min,Buy,1245.63,5 Min,Buy,1246.56,15 Min,Buy,1246.56,30 Min,Buy,1257.02,1 Hour,Sell,1257.02,2 Hour,Sell,1178.64,4 Hour,Buy,1132.94,1 Day,Buy,964.14,1 Week,Buy,431.91,1 Month,Buy
13-10-2023,HCLTECH,"Ichimoku Base Line (9, 26, 52, 26)",1259.93,1 Min,Buy,1251.4,5 Min,Neutral,1237.53,15 Min,Neutral,1237.53,30 Min,Neutral,1241.5,1 Hour,Neutral,1241.5,2 Hour,Neutral,1241.5,4 Hour,Neutral,1259.93,1 Day,Buy,1163.78,1 Week,Neutral,1127.55,1 Month,Neutral
13-10-2023,HCLTECH,Volume Weighted Moving Average (20),1259.82,1 Min,Sell,1254.44,5 Min,Buy,1249.2,15 Min,Buy,1249.2,30 Min,Buy,1242.67,1 Hour,Buy,1242.67,2 Hour,Buy,1243.18,4 Hour,Buy,1259.82,1 Day,Sell,1183.07,1 Week,Buy,1074.91,1 Month,Buy
